244	0.05	26.54
245	0.05	26.55
246	0.03	26.57
247	0.05	26.57
248	0.04	26.56
249	0.08	26.58
250	0.09	26.62
251	0.06	26.62
252	0.06	26.62
253	0.07	26.65
254	0.05	26.65
255	0.03	26.64
256	0.05	26.61
257	0.03	26.61
258	0.05	26.6
259	0.04	26.6
260	0.03	26.62
261	0.08	26.67
262	0.09	26.63
263	0.08	26.59
264	0.08	26.57
265	0.07	26.55
266	0.04	26.55
267	0.07	26.61
268	0.06	26.6
269	0.08	26.59
270	0.09	26.57
271	0.12	26.53
272	0.19	26.51
273	0.22	26.48
274	0.12	26.5
275	0.06	26.51
276	0.05	26.57
277	0.06	26.58
278	0.06	26.56
279	0.07	26.55
280	0.05	26.55
